gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4539606858	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2886411	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Khiri Ratthanikhom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	9.03	98.9533							2019-08-28	28	8	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2886411				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.961Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606841	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885835	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-07-25	25	7	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885835				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.958Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606816	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2887867	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Khiri Ratthanikhom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	9.03	98.9533							2019-10-23	23	10	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2887867				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.954Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606780	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2883991	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-05-22	22	5	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2883991				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.947Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606773	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885001	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-06-24	24	6	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885001				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.946Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606695	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885147	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-06-25	25	6	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885147				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.926Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606671	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2884181	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-05-23	23	5	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2884181				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.921Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606644	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2887473	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-10-15	15	10	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2887473				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.916Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606621	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2884162	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-05-23	23	5	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2884162				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.912Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539606576	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885020	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-06-24	24	6	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885020				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:03.825Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
